#peakID	chr	start	end	strand	PC1
chr14-7700000	chr14	7700000	7800000	+	0.944786993305614
chr14-7800000	chr14	7800000	7900000	+	1.53575545186072
chr14-7900000	chr14	7900000	8000000	+	1.55202555660517
chr14-8000000	chr14	8000000	8100000	+	1.51922285370875
chr14-8100000	chr14	8100000	8200000	+	1.51946624133323
chr14-8200000	chr14	8200000	8300000	+	1.17259147402538
chr14-8300000	chr14	8300000	8400000	+	0.815729938380265
chr14-8400000	chr14	8400000	8500000	+	0.494764104359142
chr14-8500000	chr14	8500000	8600000	+	0.255129941715081
chr14-8600000	chr14	8600000	8700000	+	0.576638727000706
chr14-8700000	chr14	8700000	8800000	+	0.100847343900493
chr14-8800000	chr14	8800000	8900000	+	-0.182927779337666
chr14-8900000	chr14	8900000	9000000	+	-0.218735350070036
chr14-9000000	chr14	9000000	9100000	+	-0.167111884455914
chr14-9100000	chr14	9100000	9200000	+	-0.22732675287775
chr14-9200000	chr14	9200000	9300000	+	0.14306991544745
chr14-9300000	chr14	9300000	9400000	+	0.111727613173884
chr14-9400000	chr14	9400000	9500000	+	-0.211257310985499
chr14-9500000	chr14	9500000	9600000	+	-0.22034226024835
chr14-9600000	chr14	9600000	9700000	+	-0.133089942648212
chr14-9700000	chr14	9700000	9800000	+	-0.333489912230927
chr14-9800000	chr14	9800000	9900000	+	-0.463645278570302
chr14-9900000	chr14	9900000	10000000	+	-0.287889353692802
chr14-10000000	chr14	10000000	10100000	+	-0.241423286162834
chr14-10100000	chr14	10100000	10200000	+	-0.257283737739191
chr14-10200000	chr14	10200000	10300000	+	-0.46590738444488
chr14-10300000	chr14	10300000	10400000	+	-0.554120334860887
chr14-10400000	chr14	10400000	10500000	+	-0.285814607103557
chr14-10500000	chr14	10500000	10600000	+	-0.370243701441639
chr14-10600000	chr14	10600000	10700000	+	-0.42520301886768
chr14-10700000	chr14	10700000	10800000	+	-0.332928896941448
chr14-10800000	chr14	10800000	10900000	+	-0.371054012429931
chr14-10900000	chr14	10900000	11000000	+	-0.305012098800593
chr14-11000000	chr14	11000000	11100000	+	0.0281900307236321
chr14-11100000	chr14	11100000	11200000	+	0.21769078942401
chr14-11200000	chr14	11200000	11300000	+	0.0068101679409183
chr14-11300000	chr14	11300000	11400000	+	-0.0580319580162518
chr14-11400000	chr14	11400000	11500000	+	0.313544229392274
chr14-11500000	chr14	11500000	11600000	+	1.03832557828887
chr14-11600000	chr14	11600000	11700000	+	1.24048313547964
chr14-11700000	chr14	11700000	11800000	+	1.11910322335026
chr14-11800000	chr14	11800000	11900000	+	1.10945346842374
chr14-11900000	chr14	11900000	12000000	+	1.14979814079088
chr14-12000000	chr14	12000000	12100000	+	0.847108977806607
