#peakID	chr	start	end	strand	PC1
chr9-3100000	chr9	3100000	3200000	+	-0.55859069712735
chr9-3200000	chr9	3200000	3300000	+	-0.720426146220765
chr9-3300000	chr9	3300000	3400000	+	0.16563218997116
chr9-3400000	chr9	3400000	3500000	+	0.286699722506796
chr9-3500000	chr9	3500000	3600000	+	-0.461292764255288
chr9-3600000	chr9	3600000	3700000	+	-0.910007416641897
chr9-3700000	chr9	3700000	3800000	+	-0.9981402177301
chr9-3800000	chr9	3800000	3900000	+	-0.878404772572271
chr9-3900000	chr9	3900000	4000000	+	-0.634976673324549
chr9-4000000	chr9	4000000	4100000	+	-0.572659189679676
chr9-4100000	chr9	4100000	4200000	+	-0.653492394160488
chr9-4200000	chr9	4200000	4300000	+	-0.162688842877816
chr9-4300000	chr9	4300000	4400000	+	-0.45475381528125
chr9-4400000	chr9	4400000	4500000	+	-0.952294519431492
chr9-4500000	chr9	4500000	4600000	+	-1.13129959513603
chr9-4600000	chr9	4600000	4700000	+	-1.17538396705169
chr9-4700000	chr9	4700000	4800000	+	-0.960585281554031
chr9-4800000	chr9	4800000	4900000	+	-1.09087888002194
chr9-4900000	chr9	4900000	5000000	+	-1.20013493362352
chr9-5000000	chr9	5000000	5100000	+	-1.16753036093013
chr9-5100000	chr9	5100000	5200000	+	-1.04588682754306
chr9-5200000	chr9	5200000	5300000	+	-1.17602388833984
chr9-5300000	chr9	5300000	5400000	+	-1.17052095740226
chr9-5400000	chr9	5400000	5500000	+	-0.812013296185015
chr9-5500000	chr9	5500000	5600000	+	-0.848508900855634
chr9-5600000	chr9	5600000	5700000	+	-1.00239441263675
chr9-5700000	chr9	5700000	5800000	+	-1.17543608967273
chr9-5800000	chr9	5800000	5900000	+	-1.19989224431242
chr9-5900000	chr9	5900000	6000000	+	-1.093348758264
chr9-6000000	chr9	6000000	6100000	+	-1.15666316404543
chr9-6100000	chr9	6100000	6200000	+	-1.08374296922698
chr9-6200000	chr9	6200000	6300000	+	-1.17489235637078
chr9-6300000	chr9	6300000	6400000	+	-1.19337095234159
chr9-6400000	chr9	6400000	6500000	+	-1.22687114715686
chr9-6500000	chr9	6500000	6600000	+	-1.27909203691889
chr9-6600000	chr9	6600000	6700000	+	-1.2270780311792
chr9-6700000	chr9	6700000	6800000	+	-1.07777253553279
chr9-6800000	chr9	6800000	6900000	+	-1.10286283780083
chr9-6900000	chr9	6900000	7000000	+	-1.11997066071767
chr9-7000000	chr9	7000000	7100000	+	-0.928331106038106
chr9-7100000	chr9	7100000	7200000	+	-0.525146088189565
chr9-7200000	chr9	7200000	7300000	+	-0.890796818131823
chr9-7300000	chr9	7300000	7400000	+	-1.21299465316091
chr9-7400000	chr9	7400000	7500000	+	-1.22258129604221
chr9-7500000	chr9	7500000	7600000	+	-1.07479825999083
chr9-7600000	chr9	7600000	7700000	+	-0.0492898535590543
chr9-7700000	chr9	7700000	7800000	+	0.831255710668788
chr9-7800000	chr9	7800000	7900000	+	0.815548301280606
chr9-7900000	chr9	7900000	8000000	+	0.847267660912626
