#peakID	chr	start	end	strand	PC1
chr15-3100000	chr15	3100000	3200000	+	-0.614735040420936
chr15-3200000	chr15	3200000	3300000	+	-0.634628542545003
chr15-3300000	chr15	3300000	3400000	+	-0.816737578966108
chr15-3400000	chr15	3400000	3500000	+	-0.896079372529287
chr15-3500000	chr15	3500000	3600000	+	-0.781854330018126
chr15-3600000	chr15	3600000	3700000	+	-0.689686616869228
chr15-3700000	chr15	3700000	3800000	+	-0.717969738205541
chr15-3800000	chr15	3800000	3900000	+	-0.683595649134327
chr15-3900000	chr15	3900000	4000000	+	0.0600897012214846
chr15-4000000	chr15	4000000	4100000	+	-0.0957556432787007
chr15-4100000	chr15	4100000	4200000	+	-0.767815466822646
chr15-4200000	chr15	4200000	4300000	+	-0.811185070287392
chr15-4300000	chr15	4300000	4400000	+	-0.495084846105399
chr15-4400000	chr15	4400000	4500000	+	-0.779030544373673
chr15-4500000	chr15	4500000	4600000	+	-0.881853361505147
chr15-4600000	chr15	4600000	4700000	+	-0.793775986032304
chr15-4700000	chr15	4700000	4800000	+	-0.898464287302284
chr15-4800000	chr15	4800000	4900000	+	-0.849354838479156
chr15-4900000	chr15	4900000	5000000	+	-0.842196866935778
chr15-5000000	chr15	5000000	5100000	+	-0.384202189927754
chr15-5100000	chr15	5100000	5200000	+	1.17338248367536
chr15-5200000	chr15	5200000	5300000	+	0.135270053609183
chr15-5300000	chr15	5300000	5400000	+	-0.737595794826012
chr15-5400000	chr15	5400000	5500000	+	-0.8796320069613
chr15-5500000	chr15	5500000	5600000	+	-0.874719000513852
chr15-5600000	chr15	5600000	5700000	+	-0.82117873731388
chr15-5700000	chr15	5700000	5800000	+	-0.759414155469202
chr15-5800000	chr15	5800000	5900000	+	-0.627187676084641
chr15-5900000	chr15	5900000	6000000	+	0.144591314411626
chr15-6000000	chr15	6000000	6100000	+	0.172496441441429
chr15-6100000	chr15	6100000	6200000	+	-0.70934292091884
chr15-6200000	chr15	6200000	6300000	+	-0.493399172720273
chr15-6300000	chr15	6300000	6400000	+	-0.570416619146756
chr15-6400000	chr15	6400000	6500000	+	-0.405176334058996
chr15-6500000	chr15	6500000	6600000	+	0.258232338309579
