#peakID	chr	start	end	strand	PC1
chr1-3000000	chr1	3000000	3100000	+	-0.145298498425346
chr1-3100000	chr1	3100000	3200000	+	-0.216923437731798
chr1-3200000	chr1	3200000	3300000	+	-0.210805065145418
chr1-3300000	chr1	3300000	3400000	+	-0.171353045600886
chr1-3400000	chr1	3400000	3500000	+	-0.138457358547062
chr1-3500000	chr1	3500000	3600000	+	-0.123346563662472
chr1-3600000	chr1	3600000	3700000	+	-0.111135287515116
chr1-3700000	chr1	3700000	3800000	+	-0.236221012409303
chr1-3800000	chr1	3800000	3900000	+	-0.206976064509948
chr1-3900000	chr1	3900000	4000000	+	-0.10155556757617
chr1-4000000	chr1	4000000	4100000	+	-0.184446460737343
chr1-4100000	chr1	4100000	4200000	+	-0.130548288413209
chr1-4200000	chr1	4200000	4300000	+	-0.209436657860501
chr1-4300000	chr1	4300000	4400000	+	-0.133776591427896
chr1-4400000	chr1	4400000	4500000	+	0.0251360230774517
chr1-4500000	chr1	4500000	4600000	+	0.220381212761477
chr1-4600000	chr1	4600000	4700000	+	0.16872103263134
chr1-4700000	chr1	4700000	4800000	+	0.542915521747188
chr1-4800000	chr1	4800000	4900000	+	1.22162259711519
chr1-4900000	chr1	4900000	5000000	+	0.844118079835046
chr1-5000000	chr1	5000000	5100000	+	0.637527501476072
chr1-5100000	chr1	5100000	5200000	+	0.576907665596614
chr1-5200000	chr1	5200000	5300000	+	0.189529861447282
chr1-5300000	chr1	5300000	5400000	+	-0.351342839929234
chr1-5400000	chr1	5400000	5500000	+	-0.442507584236391
chr1-5500000	chr1	5500000	5600000	+	-0.630724099299444
chr1-5600000	chr1	5600000	5700000	+	-0.54462965752929
chr1-5700000	chr1	5700000	5800000	+	-0.536746691966202
chr1-5800000	chr1	5800000	5900000	+	-0.459655854864281
chr1-5900000	chr1	5900000	6000000	+	-0.178190606600773
chr1-6000000	chr1	6000000	6100000	+	-0.206410624485439
chr1-6100000	chr1	6100000	6200000	+	-0.0420284559840139
chr1-6200000	chr1	6200000	6300000	+	0.55182823296738
chr1-6300000	chr1	6300000	6400000	+	-0.110036805594028
chr1-6400000	chr1	6400000	6500000	+	-0.129460758526277
chr1-6500000	chr1	6500000	6600000	+	-0.670166730583663
chr1-6600000	chr1	6600000	6700000	+	-0.850721723545578
chr1-6700000	chr1	6700000	6800000	+	-0.704715971257524
chr1-6800000	chr1	6800000	6900000	+	-0.505182020138809
chr1-6900000	chr1	6900000	7000000	+	-0.107593731471925
chr1-7000000	chr1	7000000	7100000	+	0.651172679946148
chr1-7100000	chr1	7100000	7200000	+	0.928985295206967
chr1-7200000	chr1	7200000	7300000	+	0.172025320441542
chr1-7300000	chr1	7300000	7400000	+	0.275169741251253
chr1-7400000	chr1	7400000	7500000	+	-0.0107746470803436
chr1-7500000	chr1	7500000	7600000	+	-0.053831867516851
chr1-7600000	chr1	7600000	7700000	+	-0.300060693323067
chr1-7700000	chr1	7700000	7800000	+	-0.246181572308739
chr1-7800000	chr1	7800000	7900000	+	-0.587268022881124
chr1-7900000	chr1	7900000	8000000	+	-0.524830035264459
chr1-8000000	chr1	8000000	8100000	+	-0.494952797542831
chr1-8100000	chr1	8100000	8200000	+	-0.437041830516749
chr1-8200000	chr1	8200000	8300000	+	-0.486501693144397
chr1-8300000	chr1	8300000	8400000	+	-0.638314247875123
chr1-8400000	chr1	8400000	8500000	+	-0.322377345146388
chr1-8500000	chr1	8500000	8600000	+	0.316495370095122
chr1-8600000	chr1	8600000	8700000	+	-0.00452107292534904
chr1-8700000	chr1	8700000	8800000	+	-0.240470566987628
chr1-8800000	chr1	8800000	8900000	+	-0.297804798077139
chr1-8900000	chr1	8900000	9000000	+	-0.0852753728174942
chr1-9000000	chr1	9000000	9100000	+	-0.527485244831945
chr1-9100000	chr1	9100000	9200000	+	-0.651954890779996
chr1-9200000	chr1	9200000	9300000	+	-0.514605601389796
chr1-9300000	chr1	9300000	9400000	+	-0.0529547683339145
chr1-9400000	chr1	9400000	9500000	+	0.0436762612284626
chr1-9500000	chr1	9500000	9600000	+	0.782933672608954
chr1-9600000	chr1	9600000	9700000	+	1.24732091729508
chr1-9700000	chr1	9700000	9800000	+	1.44615535825124
chr1-9800000	chr1	9800000	9900000	+	1.46634801796717
chr1-9900000	chr1	9900000	10000000	+	1.54831343635471
chr1-10000000	chr1	10000000	10100000	+	1.50589093433811
chr1-10100000	chr1	10100000	10200000	+	1.21963931782134
chr1-10200000	chr1	10200000	10300000	+	0.462778991211695
chr1-10300000	chr1	10300000	10400000	+	-0.424708878507986
chr1-10400000	chr1	10400000	10500000	+	-0.601854170414849
chr1-10500000	chr1	10500000	10600000	+	-0.641470823365008
chr1-10600000	chr1	10600000	10700000	+	-0.101664536687995
chr1-10700000	chr1	10700000	10800000	+	-0.128399468974369
chr1-10800000	chr1	10800000	10900000	+	0.223637925349709
chr1-10900000	chr1	10900000	11000000	+	0.150085794984602
chr1-11000000	chr1	11000000	11100000	+	0.416387956385969
chr1-11100000	chr1	11100000	11200000	+	0.370700806397654
chr1-11200000	chr1	11200000	11300000	+	0.601440695253744
chr1-11300000	chr1	11300000	11400000	+	0.999966729238632
chr1-11400000	chr1	11400000	11500000	+	1.02083544013578
chr1-11500000	chr1	11500000	11600000	+	0.628663623898815
chr1-11600000	chr1	11600000	11700000	+	0.00472531171552233
chr1-11700000	chr1	11700000	11800000	+	-0.265476429146597
chr1-11800000	chr1	11800000	11900000	+	-0.518742191928249
chr1-11900000	chr1	11900000	12000000	+	-0.641652181663512
chr1-12000000	chr1	12000000	12100000	+	-0.484618768311931
chr1-12100000	chr1	12100000	12200000	+	-0.429325354330546
chr1-12200000	chr1	12200000	12300000	+	-0.509135660480329
chr1-12300000	chr1	12300000	12400000	+	-0.549647213681063
chr1-12400000	chr1	12400000	12500000	+	-0.49740184994363
chr1-12500000	chr1	12500000	12600000	+	-0.0691333745006032
chr1-12600000	chr1	12600000	12700000	+	0.692218992990288
chr1-12700000	chr1	12700000	12800000	+	1.29180787114836
chr1-12800000	chr1	12800000	12900000	+	0.963869358685144
chr1-12900000	chr1	12900000	13000000	+	1.0960058514613
chr1-13000000	chr1	13000000	13100000	+	1.52539074947583
chr1-13100000	chr1	13100000	13200000	+	1.50382128521411
chr1-13200000	chr1	13200000	13300000	+	1.33785516860135
chr1-13300000	chr1	13300000	13400000	+	1.30437149877165
chr1-13400000	chr1	13400000	13500000	+	0.972204535537435
chr1-13500000	chr1	13500000	13600000	+	1.11689092318297
chr1-13600000	chr1	13600000	13700000	+	1.18304389035815
chr1-13700000	chr1	13700000	13800000	+	0.140821291714195
chr1-13800000	chr1	13800000	13900000	+	-0.359383982928556
chr1-13900000	chr1	13900000	14000000	+	-0.541432959042364
chr1-14000000	chr1	14000000	14100000	+	-0.519020942367843
chr1-14100000	chr1	14100000	14200000	+	-0.0516713173783968
chr1-14200000	chr1	14200000	14300000	+	0.386060202129493
chr1-14300000	chr1	14300000	14400000	+	0.489844712409615
chr1-14400000	chr1	14400000	14500000	+	0.454269468143724
chr1-14500000	chr1	14500000	14600000	+	0.115954876625426
chr1-14600000	chr1	14600000	14700000	+	0.0413850957598889
chr1-14700000	chr1	14700000	14800000	+	0.185081993883876
chr1-14800000	chr1	14800000	14900000	+	-0.231484197822586
chr1-14900000	chr1	14900000	15000000	+	-0.241065408185859
chr1-15000000	chr1	15000000	15100000	+	-0.634988099015487
chr1-15100000	chr1	15100000	15200000	+	-0.828888865804058
chr1-15200000	chr1	15200000	15300000	+	-0.756429641702467
chr1-15300000	chr1	15300000	15400000	+	-0.725485711744631
chr1-15400000	chr1	15400000	15500000	+	-0.698082078824509
chr1-15500000	chr1	15500000	15600000	+	-0.622022255871235
chr1-15600000	chr1	15600000	15700000	+	0.224887112295953
chr1-15700000	chr1	15700000	15800000	+	0.906094437133135
chr1-15800000	chr1	15800000	15900000	+	1.15699967774474
chr1-15900000	chr1	15900000	16000000	+	0.226360715589505
chr1-16000000	chr1	16000000	16100000	+	0.538693999415891
chr1-16100000	chr1	16100000	16200000	+	0.679532034416975
chr1-16200000	chr1	16200000	16300000	+	-0.196613565257283
chr1-16300000	chr1	16300000	16400000	+	-0.376097257917591
chr1-16400000	chr1	16400000	16500000	+	-0.0526160173084387
chr1-16500000	chr1	16500000	16600000	+	0.727858489628719
chr1-16600000	chr1	16600000	16700000	+	1.03289057770237
chr1-16700000	chr1	16700000	16800000	+	-0.141146412769562
chr1-16800000	chr1	16800000	16900000	+	-0.13307432121379
chr1-16900000	chr1	16900000	17000000	+	-0.374881746809766
chr1-17000000	chr1	17000000	17100000	+	-0.251932362223939
chr1-17100000	chr1	17100000	17200000	+	0.0173068233798391
chr1-17200000	chr1	17200000	17300000	+	0.149953221667232
chr1-17300000	chr1	17300000	17400000	+	-0.290002287323282
chr1-17400000	chr1	17400000	17500000	+	-0.242463336032515
chr1-17500000	chr1	17500000	17600000	+	-0.456230504537098
chr1-17600000	chr1	17600000	17700000	+	-0.231240040762562
chr1-17700000	chr1	17700000	17800000	+	-0.384666007634577
chr1-17800000	chr1	17800000	17900000	+	-0.554399065212622
chr1-17900000	chr1	17900000	18000000	+	-0.180346270961054
chr1-18000000	chr1	18000000	18100000	+	-0.11604571994719
chr1-18100000	chr1	18100000	18200000	+	-0.439348963361561
chr1-18200000	chr1	18200000	18300000	+	-0.287813006390092
chr1-18300000	chr1	18300000	18400000	+	-0.696819524797124
chr1-18400000	chr1	18400000	18500000	+	-0.91359177699405
chr1-18500000	chr1	18500000	18600000	+	-0.934975266346275
chr1-18600000	chr1	18600000	18700000	+	-0.862845365592615
chr1-18700000	chr1	18700000	18800000	+	-0.941471382498524
chr1-18800000	chr1	18800000	18900000	+	-0.830597309263554
chr1-18900000	chr1	18900000	19000000	+	-0.930718908163508
chr1-19000000	chr1	19000000	19100000	+	-0.632373210934196
chr1-19100000	chr1	19100000	19200000	+	-0.261358990929142
chr1-19200000	chr1	19200000	19300000	+	-0.0246817245559757
chr1-19300000	chr1	19300000	19400000	+	-0.776812917340878
chr1-19400000	chr1	19400000	19500000	+	-0.950933556956338
chr1-19500000	chr1	19500000	19600000	+	-1.12873985634611
chr1-19600000	chr1	19600000	19700000	+	-1.14778335286702
chr1-19700000	chr1	19700000	19800000	+	-1.11168821490148
chr1-19800000	chr1	19800000	19900000	+	-1.08156564963428
chr1-19900000	chr1	19900000	20000000	+	-1.04985432718292
chr1-20000000	chr1	20000000	20100000	+	-1.10334338485461
