#peakID	chr	start	end	strand	PC1
chr18-3100000	chr18	3100000	3200000	+	-0.686671651319288
chr18-3200000	chr18	3200000	3300000	+	-0.600269311456463
chr18-3300000	chr18	3300000	3400000	+	0.580742038997806
chr18-3400000	chr18	3400000	3500000	+	0.499291611165065
chr18-3500000	chr18	3500000	3600000	+	-0.605432889501046
chr18-3600000	chr18	3600000	3700000	+	-0.988526745802196
chr18-3700000	chr18	3700000	3800000	+	-0.727933318418249
chr18-3800000	chr18	3800000	3900000	+	-0.354168499443529
chr18-3900000	chr18	3900000	4000000	+	-0.796117239732315
chr18-4000000	chr18	4000000	4100000	+	-0.536653570589733
chr18-4100000	chr18	4100000	4200000	+	-0.711739148224141
chr18-4200000	chr18	4200000	4300000	+	-0.44888219655046
chr18-4300000	chr18	4300000	4400000	+	0.541134254452358
chr18-4400000	chr18	4400000	4500000	+	0.125518311551864
chr18-4500000	chr18	4500000	4600000	+	-0.736075348508831
chr18-4600000	chr18	4600000	4700000	+	-0.321425397748124
chr18-4700000	chr18	4700000	4800000	+	-0.345179239806742
chr18-4800000	chr18	4800000	4900000	+	-0.0581905275623798
chr18-4900000	chr18	4900000	5000000	+	0.667158130963809
chr18-5000000	chr18	5000000	5100000	+	0.8925717601537
chr18-5100000	chr18	5100000	5200000	+	0.374925501304292
chr18-5200000	chr18	5200000	5300000	+	-0.256438727046176
chr18-5300000	chr18	5300000	5400000	+	0.352146005531919
chr18-5400000	chr18	5400000	5500000	+	0.336197459863398
chr18-5500000	chr18	5500000	5600000	+	-0.19974631694624
chr18-5600000	chr18	5600000	5700000	+	-0.323645139952744
chr18-5700000	chr18	5700000	5800000	+	-0.518476246972426
chr18-5800000	chr18	5800000	5900000	+	-0.220745320495319
chr18-5900000	chr18	5900000	6000000	+	0.00881578851263984
chr18-6000000	chr18	6000000	6100000	+	1.18391173814052
chr18-6100000	chr18	6100000	6200000	+	1.38140077223731
chr18-6200000	chr18	6200000	6300000	+	1.1014059739868
chr18-6300000	chr18	6300000	6400000	+	-0.0825924750874588
chr18-6400000	chr18	6400000	6500000	+	1.1216669364329
chr18-6500000	chr18	6500000	6600000	+	0.337154945930499
chr18-6600000	chr18	6600000	6700000	+	-0.397847353988264
chr18-6700000	chr18	6700000	6800000	+	0.384754418416566
chr18-6800000	chr18	6800000	6900000	+	-0.593474678724852
chr18-6900000	chr18	6900000	7000000	+	-0.723159366623007
chr18-7000000	chr18	7000000	7100000	+	-0.87330719808207
chr18-7100000	chr18	7100000	7200000	+	-1.15611867005889
chr18-7200000	chr18	7200000	7300000	+	-1.1516576819659
chr18-7300000	chr18	7300000	7400000	+	-0.991838942244968
chr18-7400000	chr18	7400000	7500000	+	-0.627284213487125
