#peakID	chr	start	end	strand	PC1
chr12-3100000	chr12	3100000	3200000	+	-0.0704675874604211
chr12-3200000	chr12	3200000	3300000	+	0.80895418074149
chr12-3300000	chr12	3300000	3400000	+	0.992388963264837
chr12-3400000	chr12	3400000	3500000	+	1.32707378830841
chr12-3500000	chr12	3500000	3600000	+	1.3869482918181
chr12-3600000	chr12	3600000	3700000	+	1.44297578560952
chr12-3700000	chr12	3700000	3800000	+	1.44417326622326
chr12-3800000	chr12	3800000	3900000	+	1.51786493318482
chr12-3900000	chr12	3900000	4000000	+	1.48962053484845
chr12-4000000	chr12	4000000	4100000	+	1.46141555115645
chr12-4100000	chr12	4100000	4200000	+	1.48865340485193
chr12-4200000	chr12	4200000	4300000	+	1.44602263962063
chr12-4300000	chr12	4300000	4400000	+	1.43044459116558
chr12-4400000	chr12	4400000	4500000	+	1.4216352120008
chr12-4500000	chr12	4500000	4600000	+	1.4562172774703
chr12-4600000	chr12	4600000	4700000	+	1.33309719236869
chr12-4700000	chr12	4700000	4800000	+	1.30101780696408
chr12-4800000	chr12	4800000	4900000	+	1.41242312156973
chr12-4900000	chr12	4900000	5000000	+	1.29180493267824
chr12-5000000	chr12	5000000	5100000	+	0.553655925234105
chr12-5100000	chr12	5100000	5200000	+	-0.00444306714367698
chr12-5200000	chr12	5200000	5300000	+	-0.335736810086064
chr12-5300000	chr12	5300000	5400000	+	-0.444831773488137
chr12-5400000	chr12	5400000	5500000	+	-0.9057251366137
chr12-5500000	chr12	5500000	5600000	+	-1.18292964463174
chr12-5600000	chr12	5600000	5700000	+	-1.12754299846586
chr12-5700000	chr12	5700000	5800000	+	-1.15180323746577
chr12-5800000	chr12	5800000	5900000	+	-1.11535439407951
chr12-5900000	chr12	5900000	6000000	+	-1.16235810443996
chr12-6000000	chr12	6000000	6100000	+	-1.13747339798771
chr12-6100000	chr12	6100000	6200000	+	-1.1835399451443
chr12-6200000	chr12	6200000	6300000	+	-1.13393553089893
chr12-6300000	chr12	6300000	6400000	+	-1.09360072472718
chr12-6400000	chr12	6400000	6500000	+	-1.07054875916618
chr12-6500000	chr12	6500000	6600000	+	-0.885636812179187
chr12-6600000	chr12	6600000	6700000	+	-0.934226933184073
chr12-6700000	chr12	6700000	6800000	+	-1.1609632508407
chr12-6800000	chr12	6800000	6900000	+	-1.16143407658633
chr12-6900000	chr12	6900000	7000000	+	-1.16114596534764
chr12-7000000	chr12	7000000	7100000	+	-1.13257229951696
chr12-7100000	chr12	7100000	7200000	+	-1.09610298124465
chr12-7200000	chr12	7200000	7300000	+	-1.13652704458034
chr12-7300000	chr12	7300000	7400000	+	-1.13244342948182
chr12-7400000	chr12	7400000	7500000	+	-1.04384068225556
