#peakID	chr	start	end	strand	PC1
chr17-3000000	chr17	3000000	3100000	+	0.119202790797576
chr17-3100000	chr17	3100000	3200000	+	0.98473546715546
chr17-3200000	chr17	3200000	3300000	+	0.788541116732062
chr17-3300000	chr17	3300000	3400000	+	0.585691096771914
chr17-3400000	chr17	3400000	3500000	+	0.353409557015536
chr17-3500000	chr17	3500000	3600000	+	0.293203671036269
chr17-3600000	chr17	3600000	3700000	+	-0.461953016113586
chr17-3700000	chr17	3700000	3800000	+	-0.419448393782639
chr17-3800000	chr17	3800000	3900000	+	-0.446075493841685
chr17-3900000	chr17	3900000	4000000	+	-0.671896313380219
chr17-4000000	chr17	4000000	4100000	+	-0.555162547484286
chr17-4100000	chr17	4100000	4200000	+	-0.383301898886245
chr17-4200000	chr17	4200000	4300000	+	-0.615275717057157
chr17-4300000	chr17	4300000	4400000	+	-0.620402943378838
chr17-4400000	chr17	4400000	4500000	+	-0.584919192947447
chr17-4500000	chr17	4500000	4600000	+	-0.597039988657749
chr17-4600000	chr17	4600000	4700000	+	-0.533041822957676
chr17-4700000	chr17	4700000	4800000	+	-0.409876300774106
chr17-4800000	chr17	4800000	4900000	+	-0.12736427932555
chr17-4900000	chr17	4900000	5000000	+	0.700033906264384
chr17-5000000	chr17	5000000	5100000	+	0.931395886198435
chr17-5100000	chr17	5100000	5200000	+	0.918755422320179
chr17-5200000	chr17	5200000	5300000	+	0.793224118622315
chr17-5300000	chr17	5300000	5400000	+	0.86966892037701
chr17-5400000	chr17	5400000	5500000	+	0.977302072603066
chr17-5500000	chr17	5500000	5600000	+	0.364705446647959
chr17-5600000	chr17	5600000	5700000	+	0.36857402781188
chr17-5700000	chr17	5700000	5800000	+	0.785931371099375
chr17-5800000	chr17	5800000	5900000	+	1.28286751288888
chr17-5900000	chr17	5900000	6000000	+	1.41936313796446
chr17-6000000	chr17	6000000	6100000	+	1.42800153501287
chr17-6100000	chr17	6100000	6200000	+	1.3147753903802
chr17-6200000	chr17	6200000	6300000	+	0.872075297948496
chr17-6700000	chr17	6700000	6800000	+	1.38889762658957
chr17-6800000	chr17	6800000	6900000	+	1.37194972498626
chr17-7100000	chr17	7100000	7200000	+	1.12757290525698
chr17-7200000	chr17	7200000	7300000	+	0.995494070213156
chr17-7400000	chr17	7400000	7500000	+	0.704808317688002
chr17-7500000	chr17	7500000	7600000	+	0.768487802613596
chr17-7600000	chr17	7600000	7700000	+	0.245817642528169
chr17-7700000	chr17	7700000	7800000	+	0.375939488088225
chr17-7800000	chr17	7800000	7900000	+	0.662158364573487
chr17-7900000	chr17	7900000	8000000	+	0.705860757881664
chr17-8100000	chr17	8100000	8200000	+	1.15002144216448
chr17-8200000	chr17	8200000	8300000	+	1.24605354413948
chr17-8300000	chr17	8300000	8400000	+	1.33852482837757
chr17-8400000	chr17	8400000	8500000	+	1.04919111127587
chr17-8500000	chr17	8500000	8600000	+	0.555079703441902
chr17-8600000	chr17	8600000	8700000	+	0.232471134418867
chr17-8700000	chr17	8700000	8800000	+	0.172665222484636
chr17-8800000	chr17	8800000	8900000	+	0.242732991292019
chr17-8900000	chr17	8900000	9000000	+	0.239596173149697
chr17-9000000	chr17	9000000	9100000	+	-0.0203261633052398
chr17-9100000	chr17	9100000	9200000	+	-0.0197291896342015
chr17-9200000	chr17	9200000	9300000	+	-0.237792850542751
chr17-9300000	chr17	9300000	9400000	+	-0.410139023207013
chr17-9400000	chr17	9400000	9500000	+	-0.384450985018652
chr17-9500000	chr17	9500000	9600000	+	-0.356811287323903
chr17-9600000	chr17	9600000	9700000	+	-0.188430255213106
chr17-9700000	chr17	9700000	9800000	+	-0.0261937574570546
chr17-9800000	chr17	9800000	9900000	+	0.0125334102739582
chr17-9900000	chr17	9900000	10000000	+	0.0275045998782341
chr17-10000000	chr17	10000000	10100000	+	-0.09403242722577
chr17-10100000	chr17	10100000	10200000	+	0.032336753428063
chr17-10200000	chr17	10200000	10300000	+	0.924704550665987
chr17-10300000	chr17	10300000	10400000	+	1.06381766497148
chr17-10400000	chr17	10400000	10500000	+	0.78162122067517
chr17-10500000	chr17	10500000	10600000	+	0.230372234940309
