#peakID	chr	start	end	strand	PC1
chr16-3200000	chr16	3200000	3300000	+	-0.562562965807095
chr16-3500000	chr16	3500000	3600000	+	-0.349419000847059
chr16-3600000	chr16	3600000	3700000	+	-0.206047892613606
chr16-3700000	chr16	3700000	3800000	+	0.741337965701307
chr16-3800000	chr16	3800000	3900000	+	1.42482550135255
chr16-3900000	chr16	3900000	4000000	+	1.5386559145341
chr16-4000000	chr16	4000000	4100000	+	1.60099935798948
chr16-4100000	chr16	4100000	4200000	+	1.5826164119813
chr16-4200000	chr16	4200000	4300000	+	1.57110446210612
chr16-4300000	chr16	4300000	4400000	+	1.4176690927605
chr16-4400000	chr16	4400000	4500000	+	1.57427975275301
chr16-4500000	chr16	4500000	4600000	+	1.68466018203784
chr16-4600000	chr16	4600000	4700000	+	1.69356696411865
chr16-4700000	chr16	4700000	4800000	+	1.63957655693006
chr16-4800000	chr16	4800000	4900000	+	1.63363371760993
chr16-4900000	chr16	4900000	5000000	+	1.67792439101745
chr16-5000000	chr16	5000000	5100000	+	1.64706050718709
chr16-5100000	chr16	5100000	5200000	+	1.64410300332349
chr16-5200000	chr16	5200000	5300000	+	1.40913823442437
chr16-5300000	chr16	5300000	5400000	+	0.716239088590072
chr16-5400000	chr16	5400000	5500000	+	0.401790378521813
chr16-5500000	chr16	5500000	5600000	+	0.0759078175591492
chr16-5600000	chr16	5600000	5700000	+	-0.273353382827004
chr16-5700000	chr16	5700000	5800000	+	-0.230023468413728
chr16-5800000	chr16	5800000	5900000	+	-0.0565926993758867
chr16-5900000	chr16	5900000	6000000	+	-0.169894495169161
chr16-6000000	chr16	6000000	6100000	+	-0.357128528876883
chr16-6100000	chr16	6100000	6200000	+	-0.3956296791603
chr16-6200000	chr16	6200000	6300000	+	-0.288069991440529
chr16-6300000	chr16	6300000	6400000	+	-0.0970573473975794
chr16-6400000	chr16	6400000	6500000	+	-0.0438055907260796
chr16-6500000	chr16	6500000	6600000	+	-0.382501062980922
chr16-6600000	chr16	6600000	6700000	+	-0.375905885083817
chr16-6700000	chr16	6700000	6800000	+	-0.0267752735275436
chr16-6800000	chr16	6800000	6900000	+	-0.0135383902116348
chr16-6900000	chr16	6900000	7000000	+	0.00516045992075799
chr16-7000000	chr16	7000000	7100000	+	0.374033886658629
chr16-7100000	chr16	7100000	7200000	+	0.222797259599106
chr16-7200000	chr16	7200000	7300000	+	-0.186036198707466
chr16-7300000	chr16	7300000	7400000	+	-0.131679826682888
chr16-7400000	chr16	7400000	7500000	+	0.0334514409399968
chr16-7500000	chr16	7500000	7600000	+	-0.404168221958488
chr16-7600000	chr16	7600000	7700000	+	-0.398007860458751
chr16-7700000	chr16	7700000	7800000	+	-0.360245627182769
chr16-7800000	chr16	7800000	7900000	+	-0.416851558854959
chr16-7900000	chr16	7900000	8000000	+	-0.175964179972883
chr16-8000000	chr16	8000000	8100000	+	-0.411701224042454
chr16-8100000	chr16	8100000	8200000	+	-0.359053835704837
chr16-8200000	chr16	8200000	8300000	+	-0.251980510508017
chr16-8300000	chr16	8300000	8400000	+	0.138555700036043
chr16-8400000	chr16	8400000	8500000	+	1.23148031515916
chr16-8500000	chr16	8500000	8600000	+	1.47418336471051
chr16-8600000	chr16	8600000	8700000	+	1.54669178582868
chr16-8700000	chr16	8700000	8800000	+	1.65511319652876
chr16-8800000	chr16	8800000	8900000	+	1.65244177190553
chr16-8900000	chr16	8900000	9000000	+	0.950577366096776
chr16-9000000	chr16	9000000	9100000	+	1.18031331237406
chr16-9100000	chr16	9100000	9200000	+	1.32448211872164
chr16-9200000	chr16	9200000	9300000	+	1.28532308344119
chr16-9300000	chr16	9300000	9400000	+	0.862008692183072
chr16-9400000	chr16	9400000	9500000	+	0.246130090429497
chr16-9500000	chr16	9500000	9600000	+	-0.123073262318521
chr16-9600000	chr16	9600000	9700000	+	-0.0115362447151977
chr16-9700000	chr16	9700000	9800000	+	0.126937871274502
chr16-9800000	chr16	9800000	9900000	+	0.0740670679720554
chr16-9900000	chr16	9900000	10000000	+	0.36078623040863
chr16-10000000	chr16	10000000	10100000	+	0.879151739191737
chr16-10100000	chr16	10100000	10200000	+	0.673418990977725
chr16-10200000	chr16	10200000	10300000	+	1.38858578744751
chr16-10300000	chr16	10300000	10400000	+	1.54550738241374
chr16-10400000	chr16	10400000	10500000	+	1.56763301962549
chr16-10500000	chr16	10500000	10600000	+	1.54558501252689
chr16-10600000	chr16	10600000	10700000	+	1.45419188425532
chr16-10700000	chr16	10700000	10800000	+	1.51905375487531
chr16-10800000	chr16	10800000	10900000	+	1.62128691129399
chr16-10900000	chr16	10900000	11000000	+	1.62759220298909
chr16-11000000	chr16	11000000	11100000	+	1.66559112909517
chr16-11100000	chr16	11100000	11200000	+	1.68961211675419
chr16-11200000	chr16	11200000	11300000	+	1.66603517127838
chr16-11300000	chr16	11300000	11400000	+	1.55833441452322
chr16-11400000	chr16	11400000	11500000	+	1.10099241425614
chr16-11500000	chr16	11500000	11600000	+	0.369354678863387
chr16-11600000	chr16	11600000	11700000	+	0.138776437041132
chr16-11700000	chr16	11700000	11800000	+	0.220918966885124
chr16-11800000	chr16	11800000	11900000	+	0.165290036109019
chr16-11900000	chr16	11900000	12000000	+	0.368862247082034
chr16-12000000	chr16	12000000	12100000	+	-0.282637081974582
chr16-12100000	chr16	12100000	12200000	+	-0.490921369666696
chr16-12200000	chr16	12200000	12300000	+	-0.395123755712193
chr16-12300000	chr16	12300000	12400000	+	-0.481328319934382
chr16-12400000	chr16	12400000	12500000	+	-0.357915884266902
chr16-12500000	chr16	12500000	12600000	+	-0.140078276365614
chr16-12600000	chr16	12600000	12700000	+	0.267306636690479
