#peakID	chr	start	end	strand	PC1
chr19-3200000	chr19	3200000	3300000	+	0.0136345298905663
chr19-3300000	chr19	3300000	3400000	+	0.623034019380715
chr19-3400000	chr19	3400000	3500000	+	0.885836272823689
chr19-3500000	chr19	3500000	3600000	+	1.16556681634386
chr19-3600000	chr19	3600000	3700000	+	1.25042306970221
chr19-3700000	chr19	3700000	3800000	+	1.27572707269009
chr19-3800000	chr19	3800000	3900000	+	1.30152897053735
chr19-3900000	chr19	3900000	4000000	+	1.33284513245662
chr19-4000000	chr19	4000000	4100000	+	1.31523646684974
chr19-4100000	chr19	4100000	4200000	+	1.33818813072328
chr19-4200000	chr19	4200000	4300000	+	1.33868156358809
chr19-4300000	chr19	4300000	4400000	+	1.30770566469423
chr19-4400000	chr19	4400000	4500000	+	1.26380661944147
chr19-4500000	chr19	4500000	4600000	+	1.10455175501552
chr19-4600000	chr19	4600000	4700000	+	1.1881358104246
chr19-4700000	chr19	4700000	4800000	+	1.23634685214967
chr19-4800000	chr19	4800000	4900000	+	1.28078731106227
chr19-4900000	chr19	4900000	5000000	+	1.29863077611895
chr19-5000000	chr19	5000000	5100000	+	1.30827586644454
chr19-5100000	chr19	5100000	5200000	+	1.25546738860476
chr19-5200000	chr19	5200000	5300000	+	1.24355333977541
chr19-5300000	chr19	5300000	5400000	+	1.27995706928683
chr19-5400000	chr19	5400000	5500000	+	1.2926381216089
chr19-5500000	chr19	5500000	5600000	+	1.27523732526337
chr19-5600000	chr19	5600000	5700000	+	1.26344357522334
chr19-5700000	chr19	5700000	5800000	+	1.28027099183723
chr19-5800000	chr19	5800000	5900000	+	1.25201572528541
chr19-5900000	chr19	5900000	6000000	+	1.26983591723831
chr19-6000000	chr19	6000000	6100000	+	1.29056589089605
chr19-6100000	chr19	6100000	6200000	+	1.27294735520362
chr19-6200000	chr19	6200000	6300000	+	1.27338972221066
chr19-6300000	chr19	6300000	6400000	+	1.29310284001362
chr19-6400000	chr19	6400000	6500000	+	1.29196140642071
chr19-6500000	chr19	6500000	6600000	+	1.23893039263331
chr19-6600000	chr19	6600000	6700000	+	1.24300138816543
chr19-6800000	chr19	6800000	6900000	+	1.26714040070995
chr19-6900000	chr19	6900000	7000000	+	1.33402064565623
chr19-7000000	chr19	7000000	7100000	+	1.33216654884697
chr19-7100000	chr19	7100000	7200000	+	1.32026500747314
chr19-7200000	chr19	7200000	7300000	+	1.32422146928485
chr19-7300000	chr19	7300000	7400000	+	1.28950315483013
chr19-7400000	chr19	7400000	7500000	+	1.13312192246173
chr19-7500000	chr19	7500000	7600000	+	0.72985678267481
chr19-7600000	chr19	7600000	7700000	+	-0.501276390034907
chr19-7700000	chr19	7700000	7800000	+	-1.09184414900152
chr19-7800000	chr19	7800000	7900000	+	-1.17137964608005
chr19-8100000	chr19	8100000	8200000	+	-1.14266940886754
chr19-8400000	chr19	8400000	8500000	+	-1.09198203932789
chr19-8500000	chr19	8500000	8600000	+	-0.266248477904304
chr19-8600000	chr19	8600000	8700000	+	0.163574636610749
chr19-8700000	chr19	8700000	8800000	+	1.24331074590826
chr19-8800000	chr19	8800000	8900000	+	1.2746133298819
chr19-8900000	chr19	8900000	9000000	+	1.19374502322478
chr19-9000000	chr19	9000000	9100000	+	0.753455382633366
chr19-9100000	chr19	9100000	9200000	+	-0.319838977624946
chr19-9200000	chr19	9200000	9300000	+	-1.13894995579379
chr19-9400000	chr19	9400000	9500000	+	-1.16003611451595
chr19-9700000	chr19	9700000	9800000	+	-1.08017709861059
chr19-9800000	chr19	9800000	9900000	+	0.332949659234465
chr19-9900000	chr19	9900000	10000000	+	1.08820030258828
chr19-10000000	chr19	10000000	10100000	+	1.16003646107841
chr19-10100000	chr19	10100000	10200000	+	1.25040404575671
chr19-10200000	chr19	10200000	10300000	+	1.36493931998522
chr19-10300000	chr19	10300000	10400000	+	1.30544246562222
chr19-10400000	chr19	10400000	10500000	+	1.31221723991764
chr19-10500000	chr19	10500000	10600000	+	1.3184805977973
chr19-10600000	chr19	10600000	10700000	+	1.26968637302098
chr19-10700000	chr19	10700000	10800000	+	0.991115922012912
chr19-10800000	chr19	10800000	10900000	+	1.16402883886158
chr19-10900000	chr19	10900000	11000000	+	0.967778676312153
chr19-11000000	chr19	11000000	11100000	+	-0.389875648569328
chr19-11100000	chr19	11100000	11200000	+	-0.577082768891461
chr19-11200000	chr19	11200000	11300000	+	-0.232983860538264
chr19-11300000	chr19	11300000	11400000	+	-0.392595226341223
chr19-11400000	chr19	11400000	11500000	+	-1.13715433015055
chr19-11500000	chr19	11500000	11600000	+	-0.935256813717517
chr19-11600000	chr19	11600000	11700000	+	-0.903353131307509
chr19-11700000	chr19	11700000	11800000	+	-0.369359405564925
chr19-11800000	chr19	11800000	11900000	+	0.452526205640046
chr19-11900000	chr19	11900000	12000000	+	0.949040625691431
