#peakID	chr	start	end	strand	PC1
chr6-3300000	chr6	3300000	3400000	+	-0.111383300386206
chr6-3400000	chr6	3400000	3500000	+	-0.0998193777573108
chr6-3500000	chr6	3500000	3600000	+	0.625768830634095
chr6-3600000	chr6	3600000	3700000	+	-0.276006595984643
chr6-3700000	chr6	3700000	3800000	+	-0.526104807646852
chr6-3800000	chr6	3800000	3900000	+	-0.795591447404265
chr6-3900000	chr6	3900000	4000000	+	-0.705315310713293
chr6-4000000	chr6	4000000	4100000	+	-0.517498107661483
chr6-4100000	chr6	4100000	4200000	+	-0.648387121023647
chr6-4200000	chr6	4200000	4300000	+	-0.822344709679206
chr6-4300000	chr6	4300000	4400000	+	-0.694106441373524
chr6-4400000	chr6	4400000	4500000	+	-0.343700729326918
chr6-4500000	chr6	4500000	4600000	+	0.289208936833565
chr6-4600000	chr6	4600000	4700000	+	0.844665872857239
chr6-4700000	chr6	4700000	4800000	+	0.975676125248359
chr6-4800000	chr6	4800000	4900000	+	0.991754931393505
chr6-4900000	chr6	4900000	5000000	+	1.21676535649804
chr6-5000000	chr6	5000000	5100000	+	1.1980871101948
chr6-5100000	chr6	5100000	5200000	+	0.873147736079669
chr6-5200000	chr6	5200000	5300000	+	0.852551211853187
chr6-5300000	chr6	5300000	5400000	+	0.81047931301057
chr6-5400000	chr6	5400000	5500000	+	0.740649726483019
chr6-5500000	chr6	5500000	5600000	+	0.522845085146278
chr6-5600000	chr6	5600000	5700000	+	0.10955554088773
chr6-5700000	chr6	5700000	5800000	+	0.326235164834769
chr6-5800000	chr6	5800000	5900000	+	-0.116291957643919
chr6-5900000	chr6	5900000	6000000	+	-0.138222711757161
chr6-6000000	chr6	6000000	6100000	+	0.735139239046059
chr6-6100000	chr6	6100000	6200000	+	1.18093313688226
chr6-6200000	chr6	6200000	6300000	+	0.831148300415155
chr6-6300000	chr6	6300000	6400000	+	-0.22957084392049
chr6-6400000	chr6	6400000	6500000	+	-0.385736410265144
chr6-6500000	chr6	6500000	6600000	+	0.0466875443670724
chr6-6600000	chr6	6600000	6700000	+	-0.0276055329330907
chr6-6700000	chr6	6700000	6800000	+	-0.395140247063548
chr6-6800000	chr6	6800000	6900000	+	0.312230084029394
chr6-6900000	chr6	6900000	7000000	+	-0.301254583854626
chr6-7000000	chr6	7000000	7100000	+	-0.877201483950118
chr6-7100000	chr6	7100000	7200000	+	-0.930677216441237
chr6-7200000	chr6	7200000	7300000	+	-0.962120738851267
chr6-7300000	chr6	7300000	7400000	+	-0.793179228075994
chr6-7400000	chr6	7400000	7500000	+	-0.529121080570502
chr6-7500000	chr6	7500000	7600000	+	-0.612693630402154
chr6-7600000	chr6	7600000	7700000	+	0.129630091562797
chr6-7700000	chr6	7700000	7800000	+	0.420228175938501
chr6-7800000	chr6	7800000	7900000	+	0.287444799684832
chr6-7900000	chr6	7900000	8000000	+	0.121244346435426
chr6-8000000	chr6	8000000	8100000	+	-0.296708270990753
chr6-8100000	chr6	8100000	8200000	+	-0.537260292064465
chr6-8200000	chr6	8200000	8300000	+	0.0144565408787456
chr6-8300000	chr6	8300000	8400000	+	0.185637480859786
chr6-8400000	chr6	8400000	8500000	+	-0.0980777448920434
