#peakID	chr	start	end	strand	PC1
chr5-3200000	chr5	3200000	3300000	+	0.285183366996083
chr5-3300000	chr5	3300000	3400000	+	0.721089037420848
chr5-3400000	chr5	3400000	3500000	+	0.618470559630894
chr5-3500000	chr5	3500000	3600000	+	0.823688273898178
chr5-3600000	chr5	3600000	3700000	+	0.684570734575836
chr5-3700000	chr5	3700000	3800000	+	0.416090538137455
chr5-3800000	chr5	3800000	3900000	+	0.518448373481535
chr5-3900000	chr5	3900000	4000000	+	0.202574610532312
chr5-4000000	chr5	4000000	4100000	+	-0.0959648265933377
chr5-4100000	chr5	4100000	4200000	+	-0.389722096440198
chr5-4200000	chr5	4200000	4300000	+	-0.805866233774642
chr5-4300000	chr5	4300000	4400000	+	-0.723271967987904
chr5-4400000	chr5	4400000	4500000	+	-0.924860974347912
chr5-4500000	chr5	4500000	4600000	+	-1.02606777710997
chr5-4600000	chr5	4600000	4700000	+	-1.03755935154752
chr5-4700000	chr5	4700000	4800000	+	-0.820195083018304
chr5-4800000	chr5	4800000	4900000	+	-0.906875192112709
chr5-4900000	chr5	4900000	5000000	+	-0.798703888585468
chr5-5000000	chr5	5000000	5100000	+	-0.970467122619339
chr5-5100000	chr5	5100000	5200000	+	-0.896489478318925
chr5-5200000	chr5	5200000	5300000	+	-0.875367888145147
chr5-5300000	chr5	5300000	5400000	+	-0.605803876964181
chr5-5400000	chr5	5400000	5500000	+	-0.536405778932873
chr5-5500000	chr5	5500000	5600000	+	0.291408351031886
chr5-5600000	chr5	5600000	5700000	+	0.280170397418063
chr5-5700000	chr5	5700000	5800000	+	0.0243747565628923
chr5-5800000	chr5	5800000	5900000	+	-0.861799458062565
chr5-5900000	chr5	5900000	6000000	+	-1.04494991879077
chr5-6000000	chr5	6000000	6100000	+	-0.867570226200739
chr5-6100000	chr5	6100000	6200000	+	-0.972221972572439
chr5-6200000	chr5	6200000	6300000	+	-0.886938227001706
chr5-6300000	chr5	6300000	6400000	+	-0.991177054610905
chr5-6400000	chr5	6400000	6500000	+	-0.967125087512791
chr5-6500000	chr5	6500000	6600000	+	-1.01940079700848
chr5-6600000	chr5	6600000	6700000	+	-0.905985144383553
chr5-6700000	chr5	6700000	6800000	+	-0.955372135900316
chr5-6800000	chr5	6800000	6900000	+	-1.03696938393554
chr5-6900000	chr5	6900000	7000000	+	-1.10276666170781
chr5-7000000	chr5	7000000	7100000	+	-1.09446400885586
chr5-7100000	chr5	7100000	7200000	+	-1.12159026108584
chr5-7200000	chr5	7200000	7300000	+	-1.04148040002086
chr5-7300000	chr5	7300000	7400000	+	-0.992771183904141
chr5-7400000	chr5	7400000	7500000	+	-0.916663929933112
chr5-7500000	chr5	7500000	7600000	+	-0.930280550626545
chr5-7600000	chr5	7600000	7700000	+	-0.910494140528159
chr5-7700000	chr5	7700000	7800000	+	-0.886820015323313
chr5-7800000	chr5	7800000	7900000	+	-0.940939820767692
chr5-7900000	chr5	7900000	8000000	+	-0.651538552878257
chr5-8000000	chr5	8000000	8100000	+	-0.539340143960354
chr5-8100000	chr5	8100000	8200000	+	-0.554848795753123
chr5-8200000	chr5	8200000	8300000	+	-0.186658176726507
chr5-8300000	chr5	8300000	8400000	+	0.372786248577354
chr5-8400000	chr5	8400000	8500000	+	0.771283805117281
chr5-8500000	chr5	8500000	8600000	+	0.220307134726179
chr5-8600000	chr5	8600000	8700000	+	0.294411707209617
chr5-8700000	chr5	8700000	8800000	+	0.645185292599832
chr5-8800000	chr5	8800000	8900000	+	0.668396943776757
chr5-8900000	chr5	8900000	9000000	+	0.38283711994285
chr5-9000000	chr5	9000000	9100000	+	0.264104226479448
chr5-9100000	chr5	9100000	9200000	+	0.365468859700519
chr5-9200000	chr5	9200000	9300000	+	-0.693180529096363
chr5-9300000	chr5	9300000	9400000	+	-0.968120919688668
