#peakID	chr	start	end	strand	PC1
chr4-3400000	chr4	3400000	3500000	+	0.0152092699184256
chr4-3500000	chr4	3500000	3600000	+	0.539596669699529
chr4-3600000	chr4	3600000	3700000	+	0.745093727270117
chr4-3700000	chr4	3700000	3800000	+	0.862723348701513
chr4-3800000	chr4	3800000	3900000	+	1.10145448069993
chr4-3900000	chr4	3900000	4000000	+	0.483753835883593
chr4-4000000	chr4	4000000	4100000	+	-0.457242868467102
chr4-4100000	chr4	4100000	4200000	+	-0.459798045790712
chr4-4200000	chr4	4200000	4300000	+	-0.415779061975854
chr4-4300000	chr4	4300000	4400000	+	-0.55633649138236
chr4-4400000	chr4	4400000	4500000	+	-0.36532119319753
chr4-4500000	chr4	4500000	4600000	+	-0.0767376295142025
chr4-4600000	chr4	4600000	4700000	+	-0.268402429512068
chr4-4700000	chr4	4700000	4800000	+	-0.221386167666675
chr4-4800000	chr4	4800000	4900000	+	-0.575209903863894
chr4-4900000	chr4	4900000	5000000	+	-0.576253490199587
chr4-5000000	chr4	5000000	5100000	+	-0.555741417543129
chr4-5100000	chr4	5100000	5200000	+	-0.621054883758967
chr4-5200000	chr4	5200000	5300000	+	-0.681807465868035
chr4-5300000	chr4	5300000	5400000	+	-0.720965875527393
chr4-5400000	chr4	5400000	5500000	+	-0.540812570579636
chr4-5500000	chr4	5500000	5600000	+	-0.164733467461445
chr4-5600000	chr4	5600000	5700000	+	0.486003881584639
chr4-5700000	chr4	5700000	5800000	+	0.387173903671326
chr4-5800000	chr4	5800000	5900000	+	-0.226063967515929
chr4-5900000	chr4	5900000	6000000	+	-0.563267036784444
chr4-6000000	chr4	6000000	6100000	+	-0.50592517037372
chr4-6100000	chr4	6100000	6200000	+	0.0687691388265178
chr4-6200000	chr4	6200000	6300000	+	-0.280190913979745
chr4-6300000	chr4	6300000	6400000	+	-0.0293278499394444
chr4-6400000	chr4	6400000	6500000	+	0.434085646387178
chr4-6500000	chr4	6500000	6600000	+	-0.179256074410783
chr4-6600000	chr4	6600000	6700000	+	-0.462143265502175
chr4-6700000	chr4	6700000	6800000	+	-0.582448619334621
chr4-6800000	chr4	6800000	6900000	+	-0.652957576581216
chr4-6900000	chr4	6900000	7000000	+	-0.355811392962379
chr4-7000000	chr4	7000000	7100000	+	-0.741810428387691
chr4-7100000	chr4	7100000	7200000	+	-0.878039955652801
chr4-7200000	chr4	7200000	7300000	+	-0.901868359303621
chr4-7300000	chr4	7300000	7400000	+	-0.873063904833661
chr4-7400000	chr4	7400000	7500000	+	-0.89912311647095
chr4-7500000	chr4	7500000	7600000	+	-0.831903382813375
chr4-7600000	chr4	7600000	7700000	+	-0.809311313107231
chr4-7700000	chr4	7700000	7800000	+	-0.739326472691317
chr4-7800000	chr4	7800000	7900000	+	-0.648158558906809
chr4-7900000	chr4	7900000	8000000	+	-0.690542565084702
chr4-8000000	chr4	8000000	8100000	+	-0.359466461116901
chr4-8100000	chr4	8100000	8200000	+	-0.0984221840489433
chr4-8200000	chr4	8200000	8300000	+	-0.289428258524182
chr4-8300000	chr4	8300000	8400000	+	-0.342185005619672
chr4-8400000	chr4	8400000	8500000	+	0.322120901814999
chr4-8500000	chr4	8500000	8600000	+	0.772179198666768
chr4-8600000	chr4	8600000	8700000	+	1.0432038704475
chr4-8700000	chr4	8700000	8800000	+	1.22185148033759
chr4-8800000	chr4	8800000	8900000	+	1.16613373147738
chr4-8900000	chr4	8900000	9000000	+	1.10055798946332
chr4-9000000	chr4	9000000	9100000	+	0.836057019297762
chr4-9100000	chr4	9100000	9200000	+	0.213696108872169
chr4-9200000	chr4	9200000	9300000	+	-0.498761613422215
chr4-9300000	chr4	9300000	9400000	+	-0.534484782932284
chr4-9400000	chr4	9400000	9500000	+	-0.287036840940391
chr4-9500000	chr4	9500000	9600000	+	0.214775854494066
chr4-9600000	chr4	9600000	9700000	+	0.733859136802777
chr4-9700000	chr4	9700000	9800000	+	0.298714213759861
chr4-9800000	chr4	9800000	9900000	+	0.196962959880675
chr4-9900000	chr4	9900000	10000000	+	-0.595867118244024
chr4-10000000	chr4	10000000	10100000	+	-0.529731249509497
chr4-10100000	chr4	10100000	10200000	+	-0.523908349775398
chr4-10200000	chr4	10200000	10300000	+	-0.525882806521669
chr4-10300000	chr4	10300000	10400000	+	-0.0730667481933464
chr4-10400000	chr4	10400000	10500000	+	0.0944425924918935
chr4-10500000	chr4	10500000	10600000	+	-0.434771626383642
chr4-10600000	chr4	10600000	10700000	+	-0.32327096549933
chr4-10700000	chr4	10700000	10800000	+	-0.0101183488054317
chr4-10800000	chr4	10800000	10900000	+	0.802743036278428
chr4-10900000	chr4	10900000	11000000	+	1.46119517508741
chr4-11000000	chr4	11000000	11100000	+	1.50414069854812
chr4-11100000	chr4	11100000	11200000	+	1.48247680931203
chr4-11200000	chr4	11200000	11300000	+	1.5217120677217
chr4-11300000	chr4	11300000	11400000	+	1.52257007308521
chr4-11400000	chr4	11400000	11500000	+	1.46856194421538
chr4-11500000	chr4	11500000	11600000	+	1.44474118672866
chr4-11600000	chr4	11600000	11700000	+	0.890818903243825
chr4-11700000	chr4	11700000	11800000	+	0.289946984858884
chr4-11800000	chr4	11800000	11900000	+	0.175906014591659
chr4-11900000	chr4	11900000	12000000	+	0.539310207459577
chr4-12000000	chr4	12000000	12100000	+	0.708583446508537
chr4-12100000	chr4	12100000	12200000	+	0.564008848512102
chr4-12200000	chr4	12200000	12300000	+	-0.394698167539755
chr4-12300000	chr4	12300000	12400000	+	-0.685617970522387
chr4-12400000	chr4	12400000	12500000	+	-0.498702811209663
chr4-12500000	chr4	12500000	12600000	+	-0.340904373498142
chr4-12600000	chr4	12600000	12700000	+	-0.122662147096573
chr4-12700000	chr4	12700000	12800000	+	0.0046720532384395
chr4-12800000	chr4	12800000	12900000	+	-0.348657246882823
chr4-12900000	chr4	12900000	13000000	+	-0.353318441769833
chr4-13000000	chr4	13000000	13100000	+	-0.138030704467522
chr4-13100000	chr4	13100000	13200000	+	0.111342916465237
chr4-13200000	chr4	13200000	13300000	+	-0.091696344258407
chr4-13300000	chr4	13300000	13400000	+	-0.379818391803946
chr4-13400000	chr4	13400000	13500000	+	-0.417754247010785
chr4-13500000	chr4	13500000	13600000	+	-0.317743927595072
chr4-13600000	chr4	13600000	13700000	+	-0.32762342291551
chr4-13700000	chr4	13700000	13800000	+	0.348895589714209
chr4-13800000	chr4	13800000	13900000	+	0.0380610553385515
chr4-13900000	chr4	13900000	14000000	+	-0.653057498392092
chr4-14000000	chr4	14000000	14100000	+	-0.703724187763773
chr4-14100000	chr4	14100000	14200000	+	-0.711723531203176
chr4-14200000	chr4	14200000	14300000	+	-0.721389837374192
chr4-14300000	chr4	14300000	14400000	+	-0.502222176751518
chr4-14400000	chr4	14400000	14500000	+	-0.302851581555746
chr4-14500000	chr4	14500000	14600000	+	-0.389130246226948
chr4-14600000	chr4	14600000	14700000	+	-0.379521867475011
chr4-14700000	chr4	14700000	14800000	+	-0.460683595412933
chr4-14800000	chr4	14800000	14900000	+	0.474481443588827
chr4-14900000	chr4	14900000	15000000	+	0.280876857697818
chr4-15000000	chr4	15000000	15100000	+	0.0722195960393668
chr4-15100000	chr4	15100000	15200000	+	0.403636624211517
chr4-15200000	chr4	15200000	15300000	+	0.972238699130163
chr4-15300000	chr4	15300000	15400000	+	-0.183368696008215
chr4-15400000	chr4	15400000	15500000	+	-0.930364208159008
chr4-15500000	chr4	15500000	15600000	+	-0.907667439259638
chr4-15600000	chr4	15600000	15700000	+	-0.904240349460321
chr4-15700000	chr4	15700000	15800000	+	-0.97003680732951
chr4-15800000	chr4	15800000	15900000	+	-0.911280327525456
chr4-15900000	chr4	15900000	16000000	+	0.0620773277425016
chr4-16000000	chr4	16000000	16100000	+	0.152220615837756
chr4-16100000	chr4	16100000	16200000	+	0.0500699395261605
chr4-16200000	chr4	16200000	16300000	+	-0.391437058920415
chr4-16300000	chr4	16300000	16400000	+	-0.545360349459976
chr4-16400000	chr4	16400000	16500000	+	-0.442186541929816
chr4-16500000	chr4	16500000	16600000	+	-0.597544283331415
chr4-16600000	chr4	16600000	16700000	+	-0.617733881206234
chr4-16700000	chr4	16700000	16800000	+	-0.603558589857294
chr4-16800000	chr4	16800000	16900000	+	-0.599807003673836
chr4-16900000	chr4	16900000	17000000	+	-0.435442512682112
chr4-17000000	chr4	17000000	17100000	+	-0.470542851776482
chr4-17100000	chr4	17100000	17200000	+	-0.494973139718699
chr4-17200000	chr4	17200000	17300000	+	-0.577768046884072
chr4-17300000	chr4	17300000	17400000	+	-0.698853037409694
chr4-17400000	chr4	17400000	17500000	+	-0.723852986820635
chr4-17500000	chr4	17500000	17600000	+	-0.79649288334952
chr4-17600000	chr4	17600000	17700000	+	-0.87460065961701
chr4-17700000	chr4	17700000	17800000	+	-0.781582012571928
